"","V1","V2","V3","lat","lon"
"34","Celanese","I/E Reliability Engineer","Narrows, VA ",37.342026,-80.762866
"35","Department of Defense","General Engineer","Chantilly, VA",38.88668,-77.44566
"36","Wells + Associates","Entry Level Traffic Engineer/Transportation Planner","Manassas, VA ",38.744685,-77.487162
"37","Amazon Web Services, Inc.","Support Engineer","Herndon, VA",38.983887,-77.367457
"38","SWIFT","Associate Test Engineer","Manassas, VA",38.744685,-77.487162
"39","Keurig Green Mountain","Quality Engineer I - Windsor","Windsor, VA",36.845054,-76.713731
"40","Corning","Process Engineer","Manassas, VA",38.744685,-77.487162
"41","Apptad","Test Engineer","Reston, VA",38.96146,-77.3418
"42","MOSAIC Technologies Group, Inc","Process Engineer","McLean, VA",38.935202,-77.18672
"43","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"44","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"45","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"46","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"47","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"48","Celanese","I/E Reliability Engineer","Narrows, VA ",37.342026,-80.762866
"49","BMT Designers & Planners","Chemical Engineer","Alexandria, VA  ",38.80484,-77.04692
"50","Colonial Williamsburg Foundation","Project Engineer","Williamsburg, VA",37.310451,-76.746769
"51","Orbital ATK","Launch Vehicle Engineer Job","Wallops Island, VA",37.918556,-75.490518
"52","Kaiser Permanente","Facility Engineer I - Tyson's Corner, VA","McLean, VA",38.935202,-77.18672
"53","DECISIVE ANALYTICS Corporation","Manufacturing Engineer (Junior)","Alexandria, VA",38.80484,-77.04692
"54","DESIGN READY CONTROLS INC","Manufacturing/Quality Engineer","Richmond, VA  ",37.626617,-77.492834
"55","AECOM","Entry-Level Electrical Engineer","Arlington, VA  ",37.283482,-77.294978
"56","BAE Systems","Mechanical Engineer I","Radford, VA ",37.119732,-80.556541
"57","L-3 Communications","Manufacturing Engineer","Ashburn, VA",39.085309,-77.645224
"58","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"59","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"60","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"61","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"62","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"63","Applied Memetics LLC","Test Planner/Engineer","Fairfax, VA",38.83469,-77.27622
"64","AG Laser Technology","Manufacturing Engineer","Front Royal, VA",38.928308,-78.174537
"65","L-3 Communications","Engineer Field 4 (Avionics/Comms Tech)","Richmond, VA",37.626617,-77.492834
"66","Sensata Technologies","Engineering - Machine Development Engineer","Altavista, VA",37.11181,-79.28558
"67","Keurig Green Mountain","Quality Engineer I - Windsor","Windsor, VA",36.845054,-76.713731
"68","Progeny","Entry Level Programmer/Engineer","Manassas, VA",38.744685,-77.487162
"69","Excelgens Inc.","Jr. Devops Engineer/Systems Engineer","Herndon, VA",38.983887,-77.367457
"70","Apptad","Test Engineer","Reston, VA",38.96146,-77.3418
"71","TemperPack","Junior Product Engineer","Sandston, VA ",37.501495,-77.271789
"72","EMF Industries","Systems Engineer 2016_04_13","Herndon, VA",38.983887,-77.367457
"73","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"74","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"75","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"76","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"77","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"78","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"79","American Electric Power","Engineer Assc - Engineer Sr.","Glade Spring, VA",36.74578,-81.773242
"80","T-Solutions, Inc.","Junior-Level Engineer/ Analyst","Norfolk, VA",36.895911,-76.208521
"81","BMT Designers & Planners","Project Engineer","Alexandria, VA  ",38.80484,-77.04692
"82","CACI International Inc","Engineering Scientist (Hard Target Development) Job","Reston, VA",38.96146,-77.3418
"83","CWPS","Junior NOC Engineer","Chantilly, VA ",38.88668,-77.44566
"84","Bechtel","Control Systems Engineer, [PH], (130673) Job","Reston, VA",38.96146,-77.3418
"85","BAE Systems","Mechanical Engineer I","Radford, VA ",37.119732,-80.556541
"86","Thermo Fisher Scientific","Manufacturing Engineer I","Middletown, VA",39.048863,-78.285171
"87","Encore Semi","Post Silicon Validation Engineer (Charlottesville)","Charlottesville, VA",38.087663,-78.556765
"88","Tenneco Inc.","Process Engineer","Harrisonburg, VA",38.422777,-78.877137
"89","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"90","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"91","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"92","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"93","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"94","Diamond Healthcare","Plant Engineer","Williamsburg, VA ",37.310451,-76.746769
"95","Bechtel","Control Systems Engineer, [PH], (130673) Job","Reston, VA",38.96146,-77.3418
"96","Bosh Global Services","Engineer","Hampton, VA",37.072658,-76.38992
"97","Kapsch TrafficCom USA","Staff Engineer","Chantilly, VA",38.88668,-77.44566
"98","Wyndham Vacation Ownership","Engineering Manager-Wyndham Governor's Green","Williamsburg, VA",37.310451,-76.746769
"99","Loudoun Water","Project Engineer","Ashburn, VA",39.085309,-77.645224
"100","Kratos Defense","Engineer","Dahlgren, VA",38.326218,-77.039825
"101","Dewberry","Mechanical Engineer","Fairfax, VA ",38.83469,-77.27622
"102","Stantec","Entry Level Engineer","Richmond, VA",37.626617,-77.492834
"103","LGS Innovations","Test Engineer","Dulles, VA",39.002125,-77.442066
"104","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"105","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"106","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"107","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"108","Consulting Services Group, LLC","Test Engineer","Chantilly, VA",38.88668,-77.44566
"109","Logos Technologies","Mechanical Engineer","Fairfax, VA ",38.83469,-77.27622
"110","Fannie Mae","DevOps Engineer III (Multiple Openings)","Reston, VA ",38.96146,-77.3418
"111","Precision Solutions","Test Engineer","Tysons, VA",37.54812,-77.44675
"112","Triad Engineering","Engineering Technician I","Winchester, VA ",39.169668,-78.16856
"113","Richmond Public Schools","Middle School Junior Engineers - 6th - 8th Grade Teacher","Richmond, VA",37.626617,-77.492834
"114","Orbital ATK","Aerospace Engineer Job","Dulles, VA",39.002125,-77.442066
"115","Leidos","Leidos Opportunities in the Reston Area","Reston, VA ",38.96146,-77.3418
"116","Suez in North America","Project Engineer","Richmond, VA",37.626617,-77.492834
"117","Lohmann Specialty Coatings, LLC (Orange, VA)","Process Engineer","Charlottesville, VA",38.087663,-78.556765
"118","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"119","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"120","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"121","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"122","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"123","L-3 Communications","Manufacturing Engineer","Ashburn, VA",39.085309,-77.645224
"124","VERSAR","PROJECT ENGINEER","Dulles, VA",39.002125,-77.442066
"125","RadiantBlue Technologies, Inc.","Systems Engineer I – IV","Virginia",NA,NA
"126","Blueprint Automation","Controls Engineer","Virginia",NA,NA
"127","Dewberry","Mechanical Engineer","Fairfax, VA ",38.83469,-77.27622
"128","Booz Allen Hamilton","Engineering Analyst","McLean, VA",38.935202,-77.18672
"129","On-Board Services","Mechanical Engineering Consultant","Bensley, VA",37.446815,-77.443317
"130","Bechtel","Control Systems Engineer, WTP (152681) Job","Reston, VA",38.96146,-77.3418
"131","Bechtel","Control Systems Engineer, UPF (150659) Job","Reston, VA",38.96146,-77.3418
"132","Apptad","Test Engineer","Reston, VA",38.96146,-77.3418
"133","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"134","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"135","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"136","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"137","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"138","Richmond Public Schools","Middle School Junior Engineers - 6th - 8th Grade Teacher","Richmond, VA",37.626617,-77.492834
"139","Hilton Garden Inn Fredericksburg","Engineer","Fredericksburg, VA",38.313488,-77.403848
"140","MOUNTAIN, LTD.","Project Engineer - OSP","Charlottesville, VA",38.087663,-78.556765
"141","Power Systems & Controls, Inc.","Test Engineers","Richmond, VA",37.626617,-77.492834
"142","Dewberry","Entry- level Water Resource Engineer","Fairfax, VA ",38.83469,-77.27622
"143","Clarabridge","Product Manager","Reston, VA",38.96146,-77.3418
"144","Consulting Services Group, LLC","Test Engineer","Chantilly, VA",38.88668,-77.44566
"145","On-Board Services","Mechanical Engineering Consultant","Bensley, VA",37.446815,-77.443317
"146","Precision Solutions","Test Engineer","Tysons, VA",37.54812,-77.44675
"147","Blueprint Automation","Controls Engineer","Virginia",NA,NA
"148","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"149","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"150","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"151","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"152","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"153","Dept of Transportation","Engineering Manager Project Controls","Suffolk, VA",36.874916,-76.553061
"154","Whitney, Bradley and Brown","Jr Network Design Engineer","Virginia",NA,NA
"155","Power Systems & Controls, Inc.","Mechanical Engineers","Richmond, VA",37.626617,-77.492834
"156","Sotera Defense Solutions, Inc.","Test Engineer","Herndon, VA ",38.983887,-77.367457
"157","R A Yancey Lumber Corp","Plant Engineer","Crozet, VA",38.129592,-78.710635
"158","Raytheon","Entry Level Security Engineer","Herndon, VA ",38.983887,-77.367457
"159","Loudoun Water","Project Engineer","Ashburn, VA",39.085309,-77.645224
"160","SimuLogix","Aerospace Engineer/Mission Analyst","Dulles, VA",39.002125,-77.442066
"161","Leidos","Junior Signal Processing Engineer","Arlington, VA",37.283482,-77.294978
"162","Alion Science and Technology","F-35 Aerospace Engineer Ld (Propulsion Development Requireme...","Crystal City, VA",36.856513,-78.91449
"163","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"164","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"165","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"166","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"167","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"168","ia2 inc","Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"169","Sabre Systems Inc.","Jr Systems Engineer","Sterling, VA ",39.085309,-77.645224
"170","Ultra Electronics 3Phoenix","Integration and Test Engineer","Chantilly, VA",38.88668,-77.44566
"171","SimuLogix","Aerospace Engineer/Mission Analyst","Dulles, VA",39.002125,-77.442066
"172","Virginia Hospital Center","General Engineer I","Arlington, VA",37.283482,-77.294978
"173","R A Yancey Lumber Corp","Plant Engineer","Crozet, VA",38.129592,-78.710635
"174","Moffatt and Nichol Engine","Transportation Engineer - Entry Level","Norfolk, VA",36.895911,-76.208521
"175","Leidos","Junior Signal Processing Engineer","Arlington, VA",37.283482,-77.294978
"176","Logos Technologies","Mechanical Engineer","Fairfax, VA ",38.83469,-77.27622
"177","WSP | Parsons Brinckerhoff","Assistant Water Resources Engineer","Virginia",NA,NA
"178","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"179","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"180","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"181","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"182","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"183","Department of the Army","Fire Protection Engineer","Alexandria, VA",38.80484,-77.04692
"184","Courtyard by Marriott Winchester, VA","Assistant Engineer","Winchester, VA",39.169668,-78.16856
"185","CompuGain","REMOTE Test Engineer","Reston, VA ",38.96146,-77.3418
"186","George Mason University","Adjunct Faculty - Mechanical Engineering","Fairfax County, VA",38.740054,-77.189796
"187","ALEX - Alternative Experts, LLC","Mechanical Engineer","Dahlgren, VA",38.326218,-77.039825
"188","Ariel Partners","Test Engineer","Stafford, VA",38.438958,-77.4354
"189","Hershey","Reliability Engineer - Stuarts Draft","Stuarts Draft, VA ",37.973609,-79.065951
"190","Tri Star Engineering, Inc","Systems Engineer 1,2,3","Virginia",NA,NA
"191","VA Commonwealth Univ","Business Analyst/Process Engineer","Richmond, VA",37.626617,-77.492834
"192","Defense Engineering, Inc.","Sr. Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"193","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"194","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"195","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"196","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"197","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"198","Information Innovators Inc.","Junior Engineer","Lorton, VA",38.692865,-77.204031
"199","People, Technology & Processes","Test Engineer","Alexandria, VA",38.80484,-77.04692
"200","Printpack Inc","Process Engineer I or II","Williamsburg, VA ",37.310451,-76.746769
"201","Sotera Defense Solutions, Inc.","Test Engineer","Herndon, VA ",38.983887,-77.367457
"202","Masco Cabinetry","Industrial / Process Engineer","Culpeper, VA",38.511694,-77.9928
"203","Huntington Ingalls Industries Inc.","Mechanical Engineer 4 - Submarine Machinery","Newport News, VA",37.058296,-76.463471
"204","National Aeronautics and Space Administration","Aerospace Engineer, AST - Heat Transfer","Hampton, VA",37.072658,-76.38992
"205","VERSAR","PROJECT ENGINEER","Dulles, VA",39.002125,-77.442066
"206","LTC Solutions, LLC","Test Engineer","Stafford, VA",38.438958,-77.4354
"207","Bechtel","Control Systems Engineer, [PH], (130673) Job","Reston, VA",38.96146,-77.3418
"208","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"209","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"210","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"211","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"212","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"213","Defense Engineering, Inc.","Sr. Test Engineer","Fort Belvoir, VA",38.714562,-77.167886
"214","Leidos","Junior Signal Processing Engineer","Arlington, VA",37.283482,-77.294978
"215","Northern VA Community College","9 Month Teaching Faculty - Engineering (AL)","Virginia",NA,NA
"216","WSP | Parsons Brinckerhoff","Assistant Water Resources Engineer","Virginia",NA,NA
"217","Six3 Systems","Facility Engineer, Junior","Virginia",NA,NA
"218","Huntington Ingalls Industries Inc.","Mechanical Engineer 4 - Submarine Machinery","Newport News, VA",37.058296,-76.463471
"219","People, Technology & Processes","Test Engineer","Alexandria, VA",38.80484,-77.04692
"220","Department of the Army","Electrical Engineer","Virginia",NA,NA
"221","Senecio Consulting Services","Junior Financial Engineer","Reston, VA",38.96146,-77.3418
"222","Michael Baker International","Project Engineer","Alexandria, VA",38.80484,-77.04692
"223","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"224","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"225","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"226","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"227","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"228","Hilton Garden Inn Fredericksburg","Engineer","Fredericksburg, VA",38.313488,-77.403848
"229","Markon Solutions","Project Controls Engineer","Virginia",NA,NA
"230","Virginia Hospital Center","General Engineer I","Arlington, VA",37.283482,-77.294978
"231","SERCO INC.","IPPS-A Test Engineer - JR (Alexandria, VA)","Alexandria, VA",38.80484,-77.04692
"232","Capital One","Quality Engineer","Glen Allen, VA",37.531296,-77.416103
"233","Booz Allen Hamilton","Diminishing Manufacturing Sources Engineer","Arlington, VA",37.283482,-77.294978
"234","Everest Consultants LLC","Project Engineer","Fairfax, VA",38.83469,-77.27622
"235","R A Yancey Lumber Corp","Plant Engineer","Crozet, VA",38.129592,-78.710635
"236","Virginia Panel Corporation","Manufacturing Engineer","Waynesboro, VA ",38.065794,-78.903445
"237","Tetra Pak","TS Field Service Engineer","Virginia",NA,NA
"238","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"239","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"240","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"241","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"242","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"243","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"244","CustomInk","Site Content Project Coordinator","Fairfax, VA ",38.83469,-77.27622
"245","Hershey","Reliability Engineer - Stuarts Draft","Stuarts Draft, VA ",37.973609,-79.065951
"246","Booz Allen Hamilton","Research Support Materials Engineer","Quantico, VA",38.52602,-77.322803
"247","Cvent","Quality Engineer","Tysons Corner, VA",38.918722,-77.231093
"248","Alfa Laval","Quality Engineer","Richmond, VA",37.626617,-77.492834
"249","L-3 Communications","Manufacturing Engineer","Ashburn, VA",39.085309,-77.645224
"250","Wyle Laboratories","Aircraft Weapons Integration Engineer","Arlington, VA  ",37.283482,-77.294978
"251","Virginia Hospital Center","General Engineer I","Arlington, VA",37.283482,-77.294978
"252","National Aeronautics and Space Administration","NASA's Pathways Intern Employment Program (Engineering Techn...","Hampton, VA",37.072658,-76.38992
"253","People, Technology & Processes","Test Engineer","Alexandria, VA",38.80484,-77.04692
"254","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"255","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"256","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"257","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"258","Orbital ATK","Antenna Engineer Job","Dulles, VA",39.002125,-77.442066
"259","ISYS Technologies","Process Improvement Engineer/Specailist Skill","Springfield, VA",38.704562,-78.446119
"260","Orbital ATK","Engineering Technician Job","Dulles, VA",39.002125,-77.442066
"261","Comcast","Engineer3, Deployment Engineer","Virginia",NA,NA
"262","Huntington Ingalls Industries Inc.","Mechanical Engineer 4 - Submarine Machinery","Newport News, VA",37.058296,-76.463471
"263","Signature Science","Junior Engineer","Arlington, VA",37.283482,-77.294978
"264","Applied Memetics LLC","Junior Desktop Support Specialist / System Engineer, Junior","Chantilly, VA",38.88668,-77.44566
"265","CustomInk","Site Content Project Coordinator","Fairfax, VA ",38.83469,-77.27622
"266","Six3 Systems","Facility Engineer, Junior","Virginia",NA,NA
"267","ICF International, Inc","Functional Test Engineer","Chantilly, VA",38.88668,-77.44566
"268","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"269","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"270","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"271","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"272","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"273","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"274","Richmond Public Schools","Middle School Junior Engineers - 6th - 8th Grade Teacher","Richmond, VA",37.626617,-77.492834
"275","Federal Reserve Bank of Richmond","Currency Technology Office Engineer I/II","Richmond, VA",37.626617,-77.492834
"276","Aerojet Rocketdyne","Project Engineer","Bristow, VA",38.814835,-77.211649
"277","JLL","Operating Engineer","McLean, VA",38.935202,-77.18672
"278","The National Radio Astronomy Observatory","Research Engineer in Millimeter and Submillimeter Wavelength...","Virginia",NA,NA
"279","Booker DiMaio, LLC","Systems Engineer","Virginia",NA,NA
"280","Vencore","Engineer","Chantilly, VA",38.88668,-77.44566
"281","ICF International, Inc","Functional Test Engineer","Chantilly, VA",38.88668,-77.44566
"282","AECOM","Sonar Test Engineer","Manassas, VA",38.744685,-77.487162
"283","Lockheed Martin","Field Engineer - Norfolk, VA - TS Clearance","Norfolk, VA ",36.895911,-76.208521
"284","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"285","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"286","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"287","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"288","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"289","Healthy Buildings International","Energy Engineer","Fairfax, VA ",38.83469,-77.27622
"290","BAE Systems","Mechanical Engineer I","Radford, VA ",37.119732,-80.556541
"291","Mondelēz International","Engineer -Continuous Improvement","Richmond, VA",37.626617,-77.492834
"292","Swisslog","STAR Engineer Internship","Virginia",NA,NA
"293","ASRC Federal","Application Engineer","Reston, VA",38.96146,-77.3418
"294","Engineering Solutions & Products LLC.","Engineer III","Stafford, VA",38.438958,-77.4354
"295","Lutron Electronics","Process Engineering Manager","Ashland, VA",37.754912,-77.480128
"296","SMITHS POWER – PDI / Onyx","Manufacturing Engineer","Richmond, VA",37.626617,-77.492834
"297","Alexandria House","Facilities Mechanical Engineer","Alexandria, VA",38.80484,-77.04692
"298","Lidl","Industrial Engineer","Arlington, VA",37.283482,-77.294978
"299","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"300","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"301","Noblis","Project Engineer - Acquisition","Chantilly, VA",38.88668,-77.44566
"302","U.S. Navy","Naval Reactors Engineer","United States",NA,NA
"303","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"304","Alion Science and Technology","F-35 Aerospace Engineer (Airframe Integration)","Crystal City, VA",36.856513,-78.91449
"305","AECOM","Mechanical Engineer 2","Springfield, VA ",38.704562,-78.446119
"306","Agile Defense, Inc.","Design Engineer","Alexandria, VA",38.80484,-77.04692
"307","George Mason University","Adjunct Faculty - Mechanical Engineering","Fairfax County, VA",38.740054,-77.189796
"308","The Structures Group, Inc.","Engineer in Training","Williamsburg, VA ",37.310451,-76.746769
"309","Booz Allen Hamilton","Field Programmable Gate Array Engineering Analyst","Charlottesville, VA ",38.087663,-78.556765
"310","SAIC","Ground System Hardware Engineer Job","Chantilly, VA ",38.88668,-77.44566
"311","CGI","Sr. Test Engineer","Crystal City, VA",36.856513,-78.91449
"312","Dept of Transportation","Engineer Senior Project Controls (Fredericksburg District)","Stafford, VA",38.438958,-77.4354
"313","Flowserve","Aftermarket Quality Engineer","Chesapeake, VA  ",36.749991,-76.218759
"314","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"315","BOEING","Systems Engineer Level 1 or 2","Fairfax, VA",38.83469,-77.27622
"316","Sumitomo Machinery Corporation of America / Hansen","Production Engineer II","Chesapeake, VA",36.749991,-76.218759
"317","Dewberry","Mechanical Engineer","Fairfax, VA",38.83469,-77.27622
"318","ISYS Technologies","Process Improvement Engineer/Specailist Skill","Springfield, VA",38.704562,-78.446119
"319","AECOM","Project Support Engineer","Norfolk, VA",36.895911,-76.208521
"320","Sev1Tech","Entry Level Recruiter","Woodbridge, VA",38.625541,-77.271644
"321","ThinkGeek","Quality Assurance Engineer","Fairfax, VA ",38.83469,-77.27622
