"","V1","V2","V3","lat","lon"
"1","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"2","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"3","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"4","Logical Paradigm","Entry Level Business Analyst/ Quality Assurance Analyst","Herndon, VA",38.983887,-77.367457
"5","Logical Paradigm","Entry Level Business Analyst","Herndon, VA",38.983887,-77.367457
"6","Dewberry","Entry Level Geospatial Analyst","Fairfax, VA ",38.83469,-77.27622
"7","SAIC","Data Science Analyst – Entry Level Job","McLean, VA",38.935202,-77.18672
"8","Compliance Resource Center (CRC)","Data Entry Analyst","Alexandria, VA ",38.80484,-77.04692
"9","AMG Technology Solutions","Entry level Business Analyst","Richmond, VA",37.626617,-77.492834
"10","CACI International Inc","Geospatial Data Exploitation and Visualization Job","Charlottesville, VA",38.087663,-78.556765
"11","CALIBRE Systems, Inc.","Data Visualization Specialist","Alexandria, VA ",38.80484,-77.04692
"12","BAE Systems","Analytics Intern","McLean, VA",38.935202,-77.18672
"13","CGI","Entry Level Business Analyst - Campus Recruiting","Fairfax, VA",38.83469,-77.27622
"14","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"15","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"16","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"17","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"18","Outcomes Incorporated","Data Quality Analyst","Alexandria, VA",38.80484,-77.04692
"19","University of Virginia","Research Specialist Intermediate - EdPolicyWorks","Charlottesville, VA",38.087663,-78.556765
"20","University of Virginia","Research Specialist-Javits","Charlottesville, VA",38.087663,-78.556765
"21","Niha Technologies","Programmer Analyst","Centreville, VA",38.84479,-77.46701
"22","Voxiva","Data Analyst - Customer Insights","Arlington, VA",37.283482,-77.294978
"23","CACI International Inc","INTELLIGENCE ANALYST I Job","McLean, VA",38.935202,-77.18672
"24","Sky Solutions","Data Analyst","McLean, VA",38.935202,-77.18672
"25","Dept of Game and Inland Fisheries","Southwest VA Freshwater Mussel Recovery Coordinator","Virginia",NA,NA
"26","comScore","Data Analyst","Reston, VA",38.96146,-77.3418
"27","Dept of Transportation","Division Business and Data Analyst","Richmond, VA",37.626617,-77.492834
"28","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"29","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"30","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"31","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"32","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"33","Textron","Business Analyst","Virginia",NA,NA
"34","Zinger Software Solutions","Big Data Applications Specialist/Analyst","Fairfax, VA",38.83469,-77.27622
"35","Owens & Minor","Product Manager Global Sourcing","Mechanicsville, VA ",38.667895,-78.7878
"36","O3b Networks","Data Analyst","Manassas, VA",38.744685,-77.487162
"37","Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...","Data Analyst","Portsmouth, VA",36.835426,-76.298274
"38","CompuGain","REMOTE Business Systems Analyst","Reston, VA ",38.96146,-77.3418
"39","Sheltering Arms Physical Rehabilitation","IT Orders & POC Analyst (CPOE)","Virginia",NA,NA
"40","Professional Technology Integration, Inc.","Data Analytics PM","Richmond, VA",37.626617,-77.492834
"41","Voxiva","Data Analyst - Customer Insights","Arlington, VA",37.283482,-77.294978
"42","redtoo","Data Analytics Program Manager","Richmond, VA  ",37.626617,-77.492834
"43","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"44","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"45","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"46","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"47","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"48","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"49","Armed Forces Services Corporation","Data Analyst","Arlington, VA",37.283482,-77.294978
"50","City of Danville, VA","GIS Analyst Intern","Danville, VA ",36.603501,-79.376228
"51","ViON Corporation","Data Analyst","Herndon, VA ",38.983887,-77.367457
"52","Sotera Defense Solutions, Inc.","Analyst I","Virginia",NA,NA
"53","Stem Xpert","Data Analyst","Richmond, VA",37.626617,-77.492834
"54","Segue Technologies","Data Analyst","Falls Church, VA",38.862044,-77.154372
"55","Prince William County Government","Accounting Services Coordinator II","Woodbridge, VA",38.625541,-77.271644
"56","ICUC","Remote Content Specialist","Vienna, VA",38.897361,-77.253749
"57","VariQ","Database Specialist","Charlottesville, VA",38.087663,-78.556765
"58","University of Virginia","Data Analyst","Charlottesville, VA",38.087663,-78.556765
"59","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"60","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"61","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"62","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"63","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"64","University of Virginia","Data Analyst","Charlottesville, VA",38.087663,-78.556765
"65","Mid-Atlantic Permanente Medical Group","Data Analyst","Tysons Corner, VA",38.918722,-77.231093
"66","Booz Allen Hamilton","Data Analyst","McLean, VA",38.935202,-77.18672
"67","Prince William County Government","Accounting Services Coordinator II","Woodbridge, VA",38.625541,-77.271644
"68","United Network of Organ Sharing (UNOS)","Data Analyst","Richmond, VA",37.626617,-77.492834
"69","Purple Squirrel Management Consulting LLC","HRIS Professional for Data Entry Seeking Purple Squirrel","Manassas, VA",38.744685,-77.487162
"70","Booz Allen Hamilton","Research Analyst","McLean, VA",38.935202,-77.18672
"71","Textron","Business Analyst","Virginia",NA,NA
"72","Mountain, LTD","Data Analyst","Ashburn, VA",39.085309,-77.645224
"73","Virginia Union University","Data Entry Specialist, Enrollment Management","Richmond, VA  ",37.626617,-77.492834
"74","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"75","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"76","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"77","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"78","Booz Allen Hamilton","Data Analyst","McLean, VA",38.935202,-77.18672
"79","Amtex Systems","Looking for Data Analyst_VA","Dulles, VA",39.002125,-77.442066
"80","Allstate","Financial Analyst - Entry Level","Chantilly, VA",38.88668,-77.44566
"81","Federal Reserve Bank of Richmond","Regional Research Analyst Intern (Fall 2016)","Richmond, VA",37.626617,-77.492834
"82","PE Systems","(14-FFX-39) Data Entry & Records Management Specialist","Arlington, VA",37.283482,-77.294978
"83","Vencore","Predictive Modeling Analyst","Chantilly, VA",38.88668,-77.44566
"84","Voxiva","Data Analyst - Product and Quality","Arlington, VA",37.283482,-77.294978
"85","Cubic Corporation","Geospatial Data Analyst","Herndon, VA",38.983887,-77.367457
"86","GAP Solutions, Inc.","Records Clerk","Alexandria, VA  ",38.80484,-77.04692
"87","Engility Corporation","Data Analyst/Mathematician","Chantilly, VA",38.88668,-77.44566
"88","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"89","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"90","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"91","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"92","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"93","Mountain, LTD","Data Analyst","Ashburn, VA",39.085309,-77.645224
"94","Acumen Solutions","Data Analyst","McLean, VA",38.935202,-77.18672
"95","Amtex Systems","Looking for Data Analyst_VA","Dulles, VA",39.002125,-77.442066
"96","Molina Healthcare","Manager, Data Management","Glen Allen, VA ",37.531296,-77.416103
"97","Zinger Software Solutions","Big Data Applications Specialist/Analyst","Fairfax, VA",38.83469,-77.27622
"98","CGI","Junior Technical Analyst","Fairfax, VA",38.83469,-77.27622
"99","Mitre Corporation","Data Analytics Intern","McLean, VA",38.935202,-77.18672
"100","Strategy and Management Services, Inc. (SAMS)","Data Analyst","Springfield, VA",38.704562,-78.446119
"101","CGI","Entry Level Business Analyst - Campus Recruiting","Fairfax, VA",38.83469,-77.27622
"102","FCi Federal","Mail Clerk--FOSS","Fairfax, VA",38.83469,-77.27622
"103","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"104","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"105","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"106","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"107","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"108","County of Frederick, VA","Market Intelligence Associate - Economic Development Authori...","Winchester, VA",39.169668,-78.16856
"109","redtoo","Data Analytics Program Manager","Richmond, VA  ",37.626617,-77.492834
"110","Distinctive Home & Health Care","Data Analyst - Government Contracting","Fort Belvoir, VA",38.714562,-77.167886
"111","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"112","OST, Inc.","Statistical Analyst","McLean, VA",38.935202,-77.18672
"113","Molina Healthcare","Manager, Data Management","Glen Allen, VA ",37.531296,-77.416103
"114","Tidewater Community College","Admissions Support Specialist (2 positions)","Norfolk, VA ",36.895911,-76.208521
"115","Mapjects.com","Data Analyst","Fairfax, VA",38.83469,-77.27622
"116","DigitalGlobe","Data Wrangler Intern","Herndon, VA",38.983887,-77.367457
"117","Altus Group","Analyst","Tysons Corner, VA",38.918722,-77.231093
"118","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"119","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"120","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"121","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"122","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"123","Inova Institute of Res & Educ","RESEARCH CONTRACTS ANALYST","Falls Church, VA",38.862044,-77.154372
"124","Professional Technology Integration, Inc.","Data Analyst","Chester, VA",37.320744,-77.454311
"125","Dept of Game and Inland Fisheries","Southwest VA Freshwater Mussel Recovery Coordinator","Virginia",NA,NA
"126","CITIZENS BANK","Appraisal Analyst I","Glen Allen, VA",37.531296,-77.416103
"127","Old Dominion University","CRM Analyst","Norfolk, VA",36.895911,-76.208521
"128","Accenture","Federal - Data/Tableau Specialist","Arlington, VA",37.283482,-77.294978
"129","Mapjects.com","Data Analyst","Fairfax, VA",38.83469,-77.27622
"130","NetCentrics Corporation","Data Science Intern","McLean, VA",38.935202,-77.18672
"131","TechINT Solutions Group","Research Analyst, Part-time","Fredericksburg, VA ",38.295135,-77.483689
"132","Tech Dynamism, LLC","Business Analyst","Charlottesville, VA",38.087663,-78.556765
"133","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"134","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"135","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"136","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"137","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"138","HN Consulting LLC","Database Specialist","Arlington, VA",37.283482,-77.294978
"139","Dept of Alcoholic Beverage Control","Adminstration Technician","Richmond, VA",37.626617,-77.492834
"140","SRI International","Research Data Coordinator","Arlington, VA  ",37.283482,-77.294978
"141","Titan Erosion Control","Admin Clerk","Manassas, VA ",38.744685,-77.487162
"142","Jacobs","Program Analyst","Arlington, VA",37.283482,-77.294978
"143","everis USA","Healthcare Data Analyst","Arlington, VA",37.283482,-77.294978
"144","Child Care Resources, Inc.","Federal Nutrition Program's Claims Analyst","Richmond, VA",37.626617,-77.492834
"145","Altus Group","Junior Analyst","Tysons Corner, VA",38.918722,-77.231093
"146","Mitre Corporation","Entry Level Operations Research Analyst / Statistician","McLean, VA",38.935202,-77.18672
"147","Freddie Mac","Data Classification Compliance Manager","McLean, VA ",38.935202,-77.18672
"148","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"149","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"150","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"151","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"152","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"153","ICS","Data Analyst - SQL Developement","Reston, VA",38.96146,-77.3418
"154","Denodo","Enterprise Data Virtualization Consultant - Fluent German","German, VA",38.93261,-77.52721
"155","L-3 Communications","WORD PROCESSOR II (Contingent upon Contract Award)","Norfolk, VA",36.895911,-76.208521
"156","Dominion","Senior Human Resources Information Systems Analyst","Richmond, VA",37.626617,-77.492834
"157","Addx","Junior Program Analyst","Virginia",NA,NA
"158","Wipro LTD","Consultant Big Data","Richmond, VA",37.626617,-77.492834
"159","VariQ","Database Administrator L2","Virginia",NA,NA
"160","Virginia Tech","Field Research Specialist","Virginia",NA,NA
"161","Concurrent Technologies Corporation","Data Analyst/Programmer","Arlington, VA",37.283482,-77.294978
"162","Sheltering Arms Physical Rehabilitation","IT Revenue Cycle Analyst","Virginia",NA,NA
"163","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"164","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"165","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"166","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"167","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"168","Altus Group","Junior Analyst","Tysons Corner, VA",38.918722,-77.231093
"169","Virginia Commonwealth University","Data Analyst","Richmond, VA",37.626617,-77.492834
"170","Concurrent Technologies Corporation","Data Analyst/Programmer","Arlington, VA",37.283482,-77.294978
"171","PPD","Data Coordinator","Richmond, VA",37.626617,-77.492834
"172","Information Innovators Inc.","Analyst","Falls Church, VA",38.862044,-77.154372
"173","Pluribus International","Junior Intelligence Operations Analyst","Fort Belvoir, VA ",38.714562,-77.167886
"174","ANSER","Associate Analyst - Operations Analysis","Virginia",NA,NA
"175","Booz Allen Hamilton","Data Analyst, Junior","Arlington, VA",37.283482,-77.294978
"176","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"177","Accenture","Federal - Data/Tableau Specialist","Arlington, VA",37.283482,-77.294978
"178","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"179","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"180","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"181","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"182","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"183","KEYW Corporation","Data Loader","Springfield, VA",38.704562,-78.446119
"184","Inova Health System","SUSTAINABILITY DATA ANALYST","Falls Church, VA",38.862044,-77.154372
"185","everis USA","Healthcare Data Analyst","Arlington, VA",37.283482,-77.294978
"186","ANSER","Associate Analyst - Operations Analysis","Virginia",NA,NA
"187","BAE Systems","Analytics Intern","McLean, VA",38.935202,-77.18672
"188","redtoo","Data Analytics Program Manager","Richmond, VA  ",37.626617,-77.492834
"189","T-Solutions, Inc.","Data Management Specialist","Wallops Island, VA",37.918556,-75.490518
"190","NetCentrics Corporation","Data Science Intern","McLean, VA",38.935202,-77.18672
"191","Titan Erosion Control","Admin Clerk","Manassas, VA ",38.744685,-77.487162
"192","VA Commonwealth Univ","Application/Data Analyst","Richmond, VA",37.626617,-77.492834
"193","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"194","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"195","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"196","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"197","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"198","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"199","redtoo","Database Administrator","Richmond, VA  ",37.626617,-77.492834
"200","Department Of The Interior","Physical Science Technician - GS-1311-04 (DEU-TEMP-JE)","Reston, VA",38.96146,-77.3418
"201","Advanced Patient Advocacy","Database Analyst","Richmond, VA",37.626617,-77.492834
"202","Sotera Defense Solutions, Inc.","Intelligence Analyst","Virginia",NA,NA
"203","Old Dominion University","CRM Analyst","Norfolk, VA",36.895911,-76.208521
"204","Dept of Health","Family Support Worker TJ045 & TJ046","Charlottesville, VA",38.087663,-78.556765
"205","Dynamis","Junior Analyst (TSA/CRL)","Arlington, VA  ",37.283482,-77.294978
"206","Professional Technology Integration, Inc.","Data Analyst","Chester, VA",37.320744,-77.454311
"207","Dept of Transportation","Engineering Technician Research Lab","Virginia",NA,NA
"208","Summit Services Unlimited, Inc.","Retail Price Data Collector (part-time)","Fairfax, VA",38.83469,-77.27622
"209","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"210","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"211","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"212","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"213","SRI International","Research Data Coordinator","Arlington, VA  ",37.283482,-77.294978
"214","Twenty Bridge","Junior Education Analyst","Herndon, VA",38.983887,-77.367457
"215","Booz Allen Hamilton","Data Management Lead","Chantilly, VA ",38.88668,-77.44566
"216","Booz Allen Hamilton","Cyber Data Migration Analyst, Junior","Chantilly, VA ",38.88668,-77.44566
"217","Markel Corporation","Associate Business Intelligence Analyst (2 Positions)","Richmond, VA",37.626617,-77.492834
"218","CSC","Entry Level: Business Analyst","Falls Church, VA ",38.862044,-77.154372
"219","L-3 Communications","WORD PROCESSOR II (Contingent upon Contract Award)","Norfolk, VA",36.895911,-76.208521
"220","ETRADE Financial","Quantitative Analyst","Arlington, VA",37.283482,-77.294978
"221","Sheltering Arms Physical Rehabilitation","IT Orders & POC Analyst (CPOE)","Virginia",NA,NA
"222","VA Retirement System","Decision Data Analyst","Richmond, VA",37.626617,-77.492834
"223","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"224","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"225","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"226","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"227","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"228","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"229","Mapjects.com","Data Analyst","Fairfax, VA",38.83469,-77.27622
"230","TechINT Solutions Group","Research Analyst, Part-time","Fredericksburg, VA ",38.295135,-77.483689
"231","County of Frederick, VA","Market Intelligence Associate - Economic Development Authori...","Winchester, VA",39.169668,-78.16856
"232","PenFed Credit Union","Threat Intel Analyst I","Chantilly, VA",38.88668,-77.44566
"233","Fors Marsh Group","Researcher","Arlington, VA  ",37.283482,-77.294978
"234","Verizon","Data Analytics Lead","Ashburn, VA ",39.085309,-77.645224
"235","CROSSMARK","DATA COLLECTION ASSOC-PT","Lynchburg, VA",37.359607,-79.141653
"236","Piedmont VA Community College","Enrollment Services Specialist","Virginia",NA,NA
"237","Mednax","Data Abstractor","Fredericksburg, VA",38.313488,-77.403848
"238","ExcelaCom","Technical Analyst - Government","Reston, VA",38.96146,-77.3418
"239","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"240","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"241","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"242","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"243","RadiantBlue Technologies, Inc.","Intelligence Analyst","Virginia",NA,NA
"244","NetCentrics Corporation","Business Systems Analyst","Arlington, VA",37.283482,-77.294978
"245","Technology Automation & Management (TeAM), Inc.","Business Data Analyst - DHMS","Arlington, VA",37.283482,-77.294978
"246","University of Virginia","Senior Programmer Analyst","Charlottesville, VA",38.087663,-78.556765
"247","KGS","IT Portfolio Analyst/MS Project SME","Virginia",NA,NA
"248","Tellius","Data Scientist Intern","Herndon, VA ",38.983887,-77.367457
"249","Systems Planning and Analysis","Associate Scientific/Data Analyst (SEAD/SSAG)","Alexandria, VA  ",38.80484,-77.04692
"250","Liberty University","Records Clerk","Lynchburg, VA",37.359607,-79.141653
"251","Techmatrix Inc","Programmer/Analyst – Power Builder (450975)","Richmond, VA",37.626617,-77.492834
"252","CSRA","Associate Analyst","Arlington, VA",37.283482,-77.294978
"253","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"254","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"255","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"256","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"257","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"258","The McKenna Principals Inc","Data Analyst (Big Data)","Herndon, VA",38.983887,-77.367457
"259","Booz Allen Hamilton","Data Ingest & ETL Specialist, Mid","Chantilly, VA ",38.88668,-77.44566
"260","Dimension Data","Business Analyst","Centreville, VA",38.84479,-77.46701
"261","Dept of Medical Asst Services","W0705 ENROLLMENT SPECIALIST","Richmond, VA",37.626617,-77.492834
"262","Old Dominion University","CRM Analyst","Norfolk, VA",36.895911,-76.208521
"263","Hewlett Packard Enterprise","IT Specialist","Norfolk, VA",36.895911,-76.208521
"264","Advanced Patient Advocacy","Database Analyst","Richmond, VA",37.626617,-77.492834
"265","Booz Allen Hamilton","Defense Research Analyst","McLean, VA",38.935202,-77.18672
"266","University of Virginia Health System","PFS Quality Analyst","Charlottesville, VA",38.087663,-78.556765
"267","Sentara Healthcare","INFORMATION ANALYTICS SPEC","Virginia Beach, VA",36.844004,-76.12036
"268","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"269","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"270","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"271","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"272","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"273","Carfax","Salesforce Administrator","Centreville, VA",38.84479,-77.46701
"274","Omnitek Consulting","Business Analyst","McLean, VA",38.935202,-77.18672
"275","Alion Science and Technology","AT - Tech / Data Coll 2","Alexandria, VA  ",38.80484,-77.04692
"276","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"277","GAP Solutions, Inc.","Records Clerk","Alexandria, VA  ",38.80484,-77.04692
"278","Aptify","Technical Analyst","Tysons Corner, VA",38.918722,-77.231093
"279","Bennett Aerospace Inc.","Data Analyst II","Arlington, VA",37.283482,-77.294978
"280","Data Interfuse","Data Integrator SME/0516","Reston, VA",38.96146,-77.3418
"281","ANSER","Democracy and Governance Technical Research Analyst","Virginia",NA,NA
"282","Dept of Health","Nutritionist Assistant PWX27","Prince William, VA",38.70167,-77.47766
"283","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"284","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"285","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"286","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"287","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"288","Delivery Agent","Business Analyst","Crozet, VA",38.129592,-78.710635
"289","Hanover Research","Research Analyst, Survey Design and Analysis","Arlington, VA  ",37.283482,-77.294978
"290","Latitude36","Business Analyst 3 - Ashburn, VA - 12 Months+","Ashburn, VA",39.085309,-77.645224
"291","1st Advantage Federal Credit Union","Data Analyst","Yorktown, VA ",37.230251,-76.524359
"292","Northrop Grumman","Cyber Big Data Analyst","McLean, VA",38.935202,-77.18672
"293","Fedex Ground","Operations Admin I - III (Senior)","Chantilly, VA",38.88668,-77.44566
"294","Mednax","Data Abstractor","Fredericksburg, VA",38.313488,-77.403848
"295","Professional Technology Integration, Inc.","Data Analytics PM","Richmond, VA",37.626617,-77.492834
"296","PenFed Credit Union","Threat Intel Analyst I","Chantilly, VA",38.88668,-77.44566
"297","Booz Allen Hamilton","Data Management Lead","Chantilly, VA ",38.88668,-77.44566
"298","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"299","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"300","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"301","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"302","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"303","VA Commonwealth Univ","Telecommunications Analyst","Richmond, VA",37.626617,-77.492834
"304","Superlative Technologies, Inc.","Technical Analyst","Ashburn, VA",39.085309,-77.645224
"305","CGI","Business Analyst","Fairfax, VA",38.83469,-77.27622
"306","B3H Corporation","Tactical Data Link Analyst","Langley AFB, VA",38.900852,-77.195909
"307","Able Force","Data Entry Specialist - Temporary","Alexandria, VA",38.80484,-77.04692
"308","SAVA","Database Analyst (Active TS w/ SCI CI Poly eligibility)","Reston, VA",38.96146,-77.3418
"309","Mitre Corporation","Data Engineer Intern","McLean, VA",38.935202,-77.18672
"310","Raytheon","Business Research Analyst","McLean, VA",38.935202,-77.18672
"311","Prince William County Government","ACCOUNTING ASSISTANT I","Prince William County, VA",38.651164,-77.264343
"312","Markel Corporation","Associate Business Intelligence Analyst (2 Positions)","Richmond, VA",37.626617,-77.492834
"313","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"314","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"315","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"316","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"317","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"318","Sotera Defense Solutions, Inc.","Intelligence Analyst","Virginia",NA,NA
"319","Gannett Co., Inc. - McLean, VA","Internship -Analytics Intern","McLean, VA",38.935202,-77.18672
"320","Systems Planning and Analysis","Associate Scientific/Data Analyst (SEAD/SSAG)","Alexandria, VA  ",38.80484,-77.04692
"321","Millennium Enterprise","IT Specialist (Knowledge Database)","Virginia",NA,NA
